case	subject	expected_event	observed	count
signal_direct_pid1	direct_workload	workload_term	true	1
signal_direct_pg	direct_workload	workload_term	true	1
signal_direct_pg_init	direct_workload	workload_term	true	1
signal_direct_pg_init_subreaper	direct_workload	workload_term	true	1
signal_shell_script_pg	shell_script_workload	workload_term	true	1
signal_shell_pg	shell_parent	shell_parent_term	true	1
signal_shell_pg	grandchild	grandchild_term	true	1
signal_shell_pg_init	shell_parent	shell_parent_term	true	1
signal_shell_pg_init	grandchild	grandchild_term	true	1
signal_bash_pg	shell_parent	shell_parent_term	true	1
signal_bash_pg	grandchild	grandchild_term	true	1
shutdown_grace_forced_kill	stubborn_workload	stubborn_signal_ignored	true	1
repeat_signal_direct_pg_1	direct_workload	workload_term	true	1
repeat_signal_direct_pg_2	direct_workload	workload_term	true	1
repeat_signal_direct_pg_3	direct_workload	workload_term	true	1
repeat_signal_direct_pg_4	direct_workload	workload_term	true	1
repeat_signal_direct_pg_5	direct_workload	workload_term	true	1
repeat_signal_direct_pg_6	direct_workload	workload_term	true	1
repeat_signal_direct_pg_7	direct_workload	workload_term	true	1
repeat_signal_direct_pg_8	direct_workload	workload_term	true	1
repeat_signal_direct_pg_9	direct_workload	workload_term	true	1
repeat_signal_direct_pg_10	direct_workload	workload_term	true	1
repeat_signal_direct_pg_11	direct_workload	workload_term	true	1
repeat_signal_direct_pg_12	direct_workload	workload_term	true	1
repeat_signal_direct_pg_13	direct_workload	workload_term	true	1
repeat_signal_direct_pg_14	direct_workload	workload_term	true	1
repeat_signal_direct_pg_15	direct_workload	workload_term	true	1
repeat_signal_direct_pg_16	direct_workload	workload_term	true	1
repeat_signal_direct_pg_17	direct_workload	workload_term	true	1
repeat_signal_direct_pg_18	direct_workload	workload_term	true	1
repeat_signal_direct_pg_19	direct_workload	workload_term	true	1
repeat_signal_direct_pg_20	direct_workload	workload_term	true	1
repeat_signal_direct_pg_21	direct_workload	workload_term	true	1
repeat_signal_direct_pg_22	direct_workload	workload_term	true	1
repeat_signal_direct_pg_23	direct_workload	workload_term	true	1
repeat_signal_direct_pg_24	direct_workload	workload_term	true	1
repeat_signal_direct_pg_25	direct_workload	workload_term	true	1
repeat_signal_direct_pg_26	direct_workload	workload_term	true	1
repeat_signal_direct_pg_27	direct_workload	workload_term	true	1
repeat_signal_direct_pg_28	direct_workload	workload_term	true	1
repeat_signal_direct_pg_29	direct_workload	workload_term	true	1
repeat_signal_direct_pg_30	direct_workload	workload_term	true	1
