case	init	process_group	subreaper	signal	expected	exit_code	duration_ms	result
signal_direct_pid1	no-init	no-pg	no-subreaper	TERM	0	0	1032	pass
signal_direct_pg	no-init	pg	no-subreaper	TERM	0	0	1025	pass
signal_direct_pg_init	docker-init	pg	no-subreaper	TERM	0	0	1042	pass
signal_direct_pg_init_subreaper	docker-init	pg	subreaper	TERM	0	0	1033	pass
signal_shell_script_pg	no-init	pg	no-subreaper	TERM	143	143	1008	pass
signal_shell_no_pg	no-init	no-pg	no-subreaper	TERM	143	143	1033	pass
signal_shell_pg	no-init	pg	no-subreaper	TERM	143	143	1035	pass
signal_shell_pg_init	docker-init	pg	no-subreaper	TERM	143	143	1040	pass
signal_bash_pg	no-init	pg	no-subreaper	TERM	143	143	1046	pass
reap_short_children_200	no-init	no-pg	no-subreaper	none	0	0	992	pass
child_churn_1000	no-init	no-pg	no-subreaper	none	0	0	1058	pass
child_churn_10000	no-init	no-pg	no-subreaper	none	0	0	1866	pass
double_fork_pid1_no_subreaper	no-init	no-pg	no-subreaper	none	0	0	989	pass
double_fork_no_subreaper_init	docker-init	no-pg	no-subreaper	none	0	0	987	pass
double_fork_subreaper_init	docker-init	no-pg	subreaper	none	0	0	964	pass
exit_zero	no-init	no-pg	no-subreaper	none	0	0	968	pass
exit_17	no-init	no-pg	no-subreaper	none	17	17	973	pass
sigkill	no-init	no-pg	no-subreaper	KILL	137	137	274	pass
shutdown_grace_forced_kill	no-init	no-pg	no-subreaper	TERM	137	137	1534	pass
start_failure	no-init	no-pg	no-subreaper	none	127	127	197	pass
internal_failure	no-init	no-pg	no-subreaper	none	70	70	175	pass
post_exit_survival	no-init	no-pg	no-subreaper	none	17	17	3977	pass
repeat_signal_direct_pg_1	no-init	pg	no-subreaper	TERM	0	0	1035	pass
repeat_signal_direct_pg_2	no-init	pg	no-subreaper	TERM	0	0	1058	pass
repeat_signal_direct_pg_3	no-init	pg	no-subreaper	TERM	0	0	1029	pass
repeat_signal_direct_pg_4	no-init	pg	no-subreaper	TERM	0	0	1033	pass
repeat_signal_direct_pg_5	no-init	pg	no-subreaper	TERM	0	0	1016	pass
repeat_signal_direct_pg_6	no-init	pg	no-subreaper	TERM	0	0	1047	pass
repeat_signal_direct_pg_7	no-init	pg	no-subreaper	TERM	0	0	1019	pass
repeat_signal_direct_pg_8	no-init	pg	no-subreaper	TERM	0	0	1038	pass
repeat_signal_direct_pg_9	no-init	pg	no-subreaper	TERM	0	0	1032	pass
repeat_signal_direct_pg_10	no-init	pg	no-subreaper	TERM	0	0	1036	pass
repeat_signal_direct_pg_11	no-init	pg	no-subreaper	TERM	0	0	1035	pass
repeat_signal_direct_pg_12	no-init	pg	no-subreaper	TERM	0	0	1032	pass
repeat_signal_direct_pg_13	no-init	pg	no-subreaper	TERM	0	0	1009	pass
repeat_signal_direct_pg_14	no-init	pg	no-subreaper	TERM	0	0	1013	pass
repeat_signal_direct_pg_15	no-init	pg	no-subreaper	TERM	0	0	1054	pass
repeat_signal_direct_pg_16	no-init	pg	no-subreaper	TERM	0	0	1045	pass
repeat_signal_direct_pg_17	no-init	pg	no-subreaper	TERM	0	0	1000	pass
repeat_signal_direct_pg_18	no-init	pg	no-subreaper	TERM	0	0	1025	pass
repeat_signal_direct_pg_19	no-init	pg	no-subreaper	TERM	0	0	1024	pass
repeat_signal_direct_pg_20	no-init	pg	no-subreaper	TERM	0	0	1020	pass
repeat_signal_direct_pg_21	no-init	pg	no-subreaper	TERM	0	0	1042	pass
repeat_signal_direct_pg_22	no-init	pg	no-subreaper	TERM	0	0	1013	pass
repeat_signal_direct_pg_23	no-init	pg	no-subreaper	TERM	0	0	1030	pass
repeat_signal_direct_pg_24	no-init	pg	no-subreaper	TERM	0	0	1026	pass
repeat_signal_direct_pg_25	no-init	pg	no-subreaper	TERM	0	0	1040	pass
repeat_signal_direct_pg_26	no-init	pg	no-subreaper	TERM	0	0	1067	pass
repeat_signal_direct_pg_27	no-init	pg	no-subreaper	TERM	0	0	1079	pass
repeat_signal_direct_pg_28	no-init	pg	no-subreaper	TERM	0	0	1053	pass
repeat_signal_direct_pg_29	no-init	pg	no-subreaper	TERM	0	0	1044	pass
repeat_signal_direct_pg_30	no-init	pg	no-subreaper	TERM	0	0	1032	pass
