case	count	p50_ms	p95_ms	p99_ms	min_ms	max_ms
repeat_signal_direct_pg	30	0.468	1.894	2.155	0.373	7.326
shutdown_grace_forced_kill	1	502.317	502.317	502.317	502.317	502.317
signal_bash_pg	1	3.835	3.835	3.835	3.835	3.835
signal_direct_pg	1	0.560	0.560	0.560	0.560	0.560
signal_direct_pg_init	1	0.508	0.508	0.508	0.508	0.508
signal_direct_pg_init_subreaper	1	0.411	0.411	0.411	0.411	0.411
signal_direct_pid1	1	0.624	0.624	0.624	0.624	0.624
signal_shell_no_pg	1	0.164	0.164	0.164	0.164	0.164
signal_shell_pg	1	0.425	0.425	0.425	0.425	0.425
signal_shell_pg_init	1	0.422	0.422	0.422	0.422	0.422
signal_shell_script_pg	1	2.737	2.737	2.737	2.737	2.737
