iteration	signal_to_exit_ms	exit_code	result
1	0.819	143	pass
2	0.499	143	pass
3	0.680	143	pass
4	1.080	143	pass
5	0.594	143	pass
6	0.513	143	pass
7	0.747	143	pass
8	0.518	143	pass
9	0.674	143	pass
10	0.797	143	pass
11	0.330	143	pass
12	0.924	143	pass
13	0.543	143	pass
14	2.194	143	pass
15	0.621	143	pass
16	0.530	143	pass
17	0.391	143	pass
18	0.380	143	pass
19	0.964	143	pass
20	0.458	143	pass
21	0.448	143	pass
22	0.558	143	pass
23	0.507	143	pass
24	2.010	143	pass
25	0.637	143	pass
26	0.520	143	pass
27	1.194	143	pass
28	0.865	143	pass
29	0.408	143	pass
30	0.640	143	pass
