case	assertion	expected	actual	result
1_immediate	exit_code	0	0	pass
1_immediate	forced	false	false	pass
1_immediate	workload_budget_expired_count	0	0	pass
1_immediate	shutdown_complete_count	1	1	pass
1_immediate	finalization_complete_count	1	1	pass
1_immediate	http_shutdown_count	1	1	pass
1_immediate	http_result	drained	drained	pass
1_immediate	shutdown_before_total	1000	22.484	pass
1_immediate	finalization_within_cap	20	20	pass
1_immediate	http_within_cap	250	0.036	pass
1_just_before	exit_code	0	0	pass
1_just_before	forced	false	false	pass
1_just_before	workload_budget_expired_count	0	0	pass
1_just_before	shutdown_complete_count	1	1	pass
1_just_before	finalization_complete_count	1	1	pass
1_just_before	http_shutdown_count	1	1	pass
1_just_before	http_result	drained	drained	pass
1_just_before	shutdown_before_total	1000	674.507	pass
1_just_before	finalization_within_cap	20	20	pass
1_just_before	http_within_cap	250	0.043	pass
1_after_deadline	exit_code	137	137	pass
1_after_deadline	forced	true	true	pass
1_after_deadline	workload_budget_expired_count	1	1	pass
1_after_deadline	shutdown_complete_count	1	1	pass
1_after_deadline	finalization_complete_count	1	1	pass
1_after_deadline	http_shutdown_count	1	1	pass
1_after_deadline	http_result	drained	drained	pass
1_after_deadline	shutdown_before_total	1000	773.309	pass
1_after_deadline	finalization_within_cap	20	20	pass
1_after_deadline	http_within_cap	250	0.062	pass
1_after_deadline	workload_not_killed_before_budget	750	773.309	pass
1_never	exit_code	137	137	pass
1_never	forced	true	true	pass
1_never	workload_budget_expired_count	1	1	pass
1_never	shutdown_complete_count	1	1	pass
1_never	finalization_complete_count	1	1	pass
1_never	http_shutdown_count	1	1	pass
1_never	http_result	drained	drained	pass
1_never	shutdown_before_total	1000	777.234	pass
1_never	finalization_within_cap	20	20	pass
1_never	http_within_cap	250	0.746	pass
1_never	workload_not_killed_before_budget	750	777.234	pass
5_immediate	exit_code	0	0	pass
5_immediate	forced	false	false	pass
5_immediate	workload_budget_expired_count	0	0	pass
5_immediate	shutdown_complete_count	1	1	pass
5_immediate	finalization_complete_count	1	1	pass
5_immediate	http_shutdown_count	1	1	pass
5_immediate	http_result	drained	drained	pass
5_immediate	shutdown_before_total	5000	20.624	pass
5_immediate	finalization_within_cap	20	20	pass
5_immediate	http_within_cap	250	0.079	pass
5_just_before	exit_code	0	0	pass
5_just_before	forced	false	false	pass
5_just_before	workload_budget_expired_count	0	0	pass
5_just_before	shutdown_complete_count	1	1	pass
5_just_before	finalization_complete_count	1	1	pass
5_just_before	http_shutdown_count	1	1	pass
5_just_before	http_result	drained	drained	pass
5_just_before	shutdown_before_total	5000	3930.539	pass
5_just_before	finalization_within_cap	20	20	pass
5_just_before	http_within_cap	250	0.088	pass
5_after_deadline	exit_code	137	137	pass
5_after_deadline	forced	true	true	pass
5_after_deadline	workload_budget_expired_count	1	1	pass
5_after_deadline	shutdown_complete_count	1	1	pass
5_after_deadline	finalization_complete_count	1	1	pass
5_after_deadline	http_shutdown_count	1	1	pass
5_after_deadline	http_result	drained	drained	pass
5_after_deadline	shutdown_before_total	5000	4023.113	pass
5_after_deadline	finalization_within_cap	20	20	pass
5_after_deadline	http_within_cap	250	0.105	pass
5_after_deadline	workload_not_killed_before_budget	4000	4023.113	pass
5_never	exit_code	137	137	pass
5_never	forced	true	true	pass
5_never	workload_budget_expired_count	1	1	pass
5_never	shutdown_complete_count	1	1	pass
5_never	finalization_complete_count	1	1	pass
5_never	http_shutdown_count	1	1	pass
5_never	http_result	drained	drained	pass
5_never	shutdown_before_total	5000	4022.429	pass
5_never	finalization_within_cap	20	20	pass
5_never	http_within_cap	250	0.044	pass
5_never	workload_not_killed_before_budget	4000	4022.429	pass
10_immediate	exit_code	0	0	pass
10_immediate	forced	false	false	pass
10_immediate	workload_budget_expired_count	0	0	pass
10_immediate	shutdown_complete_count	1	1	pass
