iteration	shutdown_ms	exit_code	result
1	9.168	0	pass
2	7.767	0	pass
3	8.207	0	pass
4	7.811	0	pass
5	7.901	0	pass
6	7.380	0	pass
7	6.275	0	pass
8	7.111	0	pass
9	8.068	0	pass
10	7.687	0	pass
11	6.745	0	pass
12	8.941	0	pass
13	8.305	0	pass
14	8.123	0	pass
15	8.291	0	pass
16	7.601	0	pass
17	7.257	0	pass
18	7.606	0	pass
19	8.195	0	pass
20	6.883	0	pass
21	7.259	0	pass
22	8.682	0	pass
23	8.193	0	pass
24	7.602	0	pass
25	7.032	0	pass
26	8.263	0	pass
27	7.508	0	pass
28	7.624	0	pass
29	8.341	0	pass
30	8.306	0	pass
