case	total_s	workload_budget_ms	reserve_ms	mode	exit_code	forced	shutdown_ms	finalize_ms	http_result	result
1_immediate	1	750	250	immediate	0	false	22.167	20	drained	pass
1_just_before	1	750	250	just_before	0	false	673.360	20	drained	pass
1_after_deadline	1	750	250	after_deadline	137	true	772.163	20	drained	pass
1_never	1	750	250	never	137	true	773.551	20	drained	pass
5_immediate	5	4000	1000	immediate	0	false	22.176	20	drained	pass
5_just_before	5	4000	1000	just_before	0	false	3925.638	20	drained	pass
5_after_deadline	5	4000	1000	after_deadline	137	true	4026.071	20	drained	pass
5_never	5	4000	1000	never	137	true	4023.386	20	drained	pass
10_immediate	10	9000	1000	immediate	0	false	22.357	20	drained	pass
10_just_before	10	9000	1000	just_before	0	false	8926.074	20	drained	pass
10_after_deadline	10	9000	1000	after_deadline	137	true	9029.936	20	drained	pass
10_never	10	9000	1000	never	137	true	9022.824	20	drained	pass
30_immediate	30	28000	2000	immediate	0	false	20.539	20	drained	pass
30_just_before	30	28000	2000	just_before	0	false	27922.744	20	drained	pass
30_after_deadline	30	28000	2000	after_deadline	137	true	28021.638	20	drained	pass
30_never	30	28000	2000	never	137	true	28049.811	20	drained	pass
60_immediate	60	58000	2000	immediate	0	false	22.429	20	drained	pass
60_just_before	60	58000	2000	just_before	0	false	57923.676	20	drained	pass
60_after_deadline	60	58000	2000	after_deadline	137	true	58026.519	20	drained	pass
60_never	60	58000	2000	never	137	true	58023.303	20	drained	pass
