case	expected	actual	result
all_scenario_rows_emitted	52	52	pass
publish_only_operations_complete	true	true	pass
acknowledged_operations_complete	true	true	pass
consumer_observed_unix_stream_complete	true	true	pass
consumer_observed_single_producer_complete	true	true	pass
consumer_observed_datagram_loss_recorded	4	4	pass
snapshot_superseded_count_recorded	3_rows	3_rows:18_lost	pass
php_file_delivery	php-file-value	php-file-value	pass
php_unix_delivery	php-unix-value	php-unix-value	pass
php_http_delivery	php-http-value	php-http-value	pass
missing_unix_socket_rejected	error	true	pass
http_connection_refused	error	true	pass
cross_filesystem_rename_rejected	error	true	pass
mmap_length_unchanged_after_grow	true	true	pass
unix_datagram_max_accepted_bytes	>0	212960	pass
