transport	profile	scenario	operations	passed	wall_elapsed_ns	aggregate_ops_s	p50_us	p95_us	p99_us
file	publish-only	baseline	500	500	22546125	22176.8	39.458	77.875	128.041
file	publish-only	multi4	2000	2000	106262376	18821.3	68.750	324.084	591.958
file	publish-only	payload1k	500	500	21633000	23112.8	39.291	83.625	110.333
file	publish-only	payload16k	500	500	25059875	19952.2	36.958	104.833	159.500
file	consumer-observed	baseline	500	500	26022959	19213.8	48.958	83.375	102.083
file	consumer-observed	multi4	2000	1994	325093209	6152.1	45.375	88.584	114.917
file	consumer-observed	payload1k	500	500	22850750	21881.1	40.459	81.125	106.542
file	consumer-observed	payload16k	500	500	33194917	15062.5	51.250	119.291	181.083
unix-stream	publish-only	baseline	500	500	3248291	153927.1	4.125	9.625	14.000
unix-stream	publish-only	multi4	2000	2000	7649500	261455.0	4.666	10.750	21.958
unix-stream	publish-only	payload1k	500	500	3941834	126844.5	5.958	12.500	40.417
unix-stream	publish-only	payload16k	500	500	9588125	52147.8	7.667	49.583	271.125
unix-stream	consumer-observed	baseline	500	500	8563084	58390.2	9.625	31.917	52.917
unix-stream	consumer-observed	multi4	2000	2000	19702125	101511.9	39.583	67.250	110.584
unix-stream	consumer-observed	payload1k	500	500	8789959	56883.1	10.584	37.125	48.750
unix-stream	consumer-observed	payload16k	500	500	19620417	25483.7	14.875	78.083	686.291
unix-stream	acknowledged	baseline	500	500	8028375	62279.1	12.042	34.917	38.041
unix-stream	acknowledged	multi4	2000	2000	20092292	99540.7	34.208	62.583	102.291
unix-stream	acknowledged	payload1k	500	500	9749250	51286.0	17.084	38.291	46.792
unix-stream	acknowledged	payload16k	500	500	20073291	24908.7	23.292	68.250	653.250
unix-dgram	publish-only	baseline	500	500	3652292	136900.3	4.209	9.458	14.208
unix-dgram	publish-only	multi4	2000	2000	7001250	285663.3	4.167	16.958	171.667
unix-dgram	publish-only	payload1k	500	500	3685042	135683.7	4.000	10.542	21.625
unix-dgram	publish-only	payload16k	500	500	8250291	60603.9	10.209	24.791	55.792
unix-dgram	consumer-observed	baseline	500	500	5098375	98070.5	6.125	26.334	35.208
unix-dgram	consumer-observed	multi4	2000	2000	11061167	180812.7	21.208	40.083	69.333
unix-dgram	consumer-observed	payload1k	500	500	3898542	128253.1	5.125	16.500	33.083
unix-dgram	consumer-observed	payload16k	500	500	7864000	63580.9	7.500	35.791	60.959
http	acknowledged	baseline	500	500	13675542	36561.6	15.584	50.167	82.375
http	acknowledged	multi4	2000	2000	23793333	84057.2	37.916	98.875	237.708
http	acknowledged	payload1k	500	500	10837167	46137.5	15.000	45.750	76.084
http	acknowledged	payload16k	500	500	26757459	18686.4	23.041	101.042	348.500
grpc	acknowledged	baseline	500	500	11660208	42880.9	15.458	31.084	88.792
grpc	acknowledged	multi4	2000	2000	30774167	64989.6	47.792	103.375	444.458
grpc	acknowledged	payload1k	500	500	11800333	42371.7	15.625	33.708	108.375
grpc	acknowledged	payload16k	500	500	18641375	26822.1	22.125	69.042	472.000
shared-memory	publish-only	baseline	500	500	55542	9002196.5	0.042	0.042	0.042
shared-memory	publish-only	multi4	2000	2000	185416	10786555.6	0.042	0.042	0.042
shared-memory	publish-only	payload1k	500	500	85041	5879516.9	0.083	0.125	0.167
shared-memory	publish-only	payload16k	500	500	197750	2528445.0	0.292	0.334	0.417
shared-memory	consumer-observed	baseline	500	500	323708	1544601.9	0.500	0.792	1.209
shared-memory	consumer-observed	multi4	2000	1994	300676083	6651.7	0.583	1.625	5.959
shared-memory	consumer-observed	payload1k	500	500	341125	1465738.4	0.541	0.875	1.583
shared-memory	consumer-observed	payload16k	500	500	404000	1237623.8	0.708	0.834	1.166
mmap	publish-only	baseline	500	500	84125	5943536.4	0.042	0.084	0.084
mmap	publish-only	multi4	2000	2000	303459	6590676.2	0.084	0.125	0.167
mmap	publish-only	payload1k	500	500	99708	5014642.8	0.084	0.125	0.167
mmap	publish-only	payload16k	500	500	195542	2556995.4	0.292	0.334	0.375
mmap	consumer-observed	baseline	500	500	485208	1030485.9	0.500	1.417	7.458
mmap	consumer-observed	multi4	2000	1994	300488625	6655.8	0.500	1.000	5.417
mmap	consumer-observed	payload1k	500	500	338625	1476559.6	0.500	0.750	1.125
mmap	consumer-observed	payload16k	500	500	404417	1236347.6	0.667	0.833	1.125
