transport	scenario	sent	observed	lost	loss_ratio	policy	result
file	baseline	500	500	0	0.000000000	require_complete	pass
file	multi4	2000	1994	6	0.003000000	allow_superseded_record_loss	pass
file	payload1k	500	500	0	0.000000000	require_complete	pass
file	payload16k	500	500	0	0.000000000	require_complete	pass
unix-stream	baseline	500	500	0	0.000000000	require_complete	pass
unix-stream	multi4	2000	2000	0	0.000000000	require_complete	pass
unix-stream	payload1k	500	500	0	0.000000000	require_complete	pass
unix-stream	payload16k	500	500	0	0.000000000	require_complete	pass
unix-dgram	baseline	500	500	0	0.000000000	record_loss	pass
unix-dgram	multi4	2000	2000	0	0.000000000	record_loss	pass
unix-dgram	payload1k	500	500	0	0.000000000	record_loss	pass
unix-dgram	payload16k	500	500	0	0.000000000	record_loss	pass
shared-memory	baseline	500	500	0	0.000000000	require_complete	pass
shared-memory	multi4	2000	1994	6	0.003000000	allow_superseded_record_loss	pass
shared-memory	payload1k	500	500	0	0.000000000	require_complete	pass
shared-memory	payload16k	500	500	0	0.000000000	require_complete	pass
mmap	baseline	500	500	0	0.000000000	require_complete	pass
mmap	multi4	2000	1994	6	0.003000000	allow_superseded_record_loss	pass
mmap	payload1k	500	500	0	0.000000000	require_complete	pass
mmap	payload16k	500	500	0	0.000000000	require_complete	pass
