filesystem	strategy	interval_ms	file_bytes	repetition	updates	observed	missed	p50_ms	p95_ms	p99_ms	max_ms	wall_ms	cpu_ms	cpu_percent	reads	parse_errors	watch_invalidations	queue_overflows
layer	poll	10ms	128	1	30	30	0	9.959	11.787	12.251	12.462	293.745	13.988	4.762	30	0	0	0
layer	poll	10ms	128	2	30	30	0	9.767	12.013	12.095	14.726	292.173	19.193	6.569	30	0	0	0
layer	poll	10ms	128	3	30	30	0	9.955	11.363	11.744	12.181	293.084	17.214	5.873	30	0	0	0
layer	poll	10ms	4096	1	30	30	0	10.028	11.967	12.091	12.133	292.313	10.469	3.581	30	0	0	0
layer	poll	10ms	4096	2	30	30	0	9.895	11.604	12.217	12.613	290.587	9.766	3.361	30	0	0	0
layer	poll	10ms	4096	3	30	30	0	9.999	11.438	11.469	12.417	292.716	9.904	3.383	30	0	0	0
layer	poll	10ms	1048576	1	5	5	0	10.164	12.276	12.276	13.070	55.179	14.553	26.374	5	0	0	0
layer	poll	10ms	1048576	2	5	5	0	10.634	10.714	10.714	13.282	53.718	17.197	32.013	5	0	0	0
layer	poll	10ms	1048576	3	5	5	0	9.920	11.485	11.485	18.136	54.264	20.923	38.558	5	0	0	0
layer	poll	100ms	128	1	30	30	0	99.999	103.361	103.390	103.415	2904.718	25.318	0.872	30	0	0	0
layer	poll	100ms	128	2	30	30	0	99.876	104.526	104.738	106.711	2904.529	16.407	0.565	30	0	0	0
layer	poll	100ms	128	3	30	30	0	99.865	103.883	103.978	110.053	2904.570	27.100	0.933	30	0	0	0
layer	poll	100ms	4096	1	30	30	0	99.728	104.201	104.689	106.103	2901.849	19.083	0.658	30	0	0	0
layer	poll	100ms	4096	2	30	30	0	100.051	103.668	103.702	104.824	2907.285	28.243	0.971	30	0	0	0
layer	poll	100ms	4096	3	30	30	0	99.967	102.811	103.186	103.753	2900.674	18.713	0.645	30	0	0	0
layer	poll	100ms	1048576	1	5	5	0	102.093	102.834	102.834	105.431	504.572	25.420	5.038	5	0	0	0
layer	poll	100ms	1048576	2	5	5	0	101.415	102.593	102.593	108.654	505.666	28.035	5.544	5	0	0	0
layer	poll	100ms	1048576	3	5	5	0	100.582	102.663	102.663	106.116	409.118	22.168	5.418	5	0	0	0
layer	inotify	1s	128	1	30	30	0	0.286	0.601	0.714	1.811	10.466	7.953	75.989	45	0	0	0
layer	inotify	1s	128	2	30	30	0	0.148	0.867	0.931	0.972	9.258	5.354	57.830	57	0	0	0
layer	inotify	1s	128	3	30	30	0	0.248	0.650	0.670	1.516	9.355	6.586	70.399	57	0	0	0
layer	inotify	1s	4096	1	30	30	0	0.213	0.572	0.578	1.850	9.337	5.401	57.843	51	0	0	0
layer	inotify	1s	4096	2	30	30	0	0.167	0.627	0.925	1.207	7.949	5.866	73.788	60	0	0	0
layer	inotify	1s	4096	3	30	30	0	0.312	1.439	1.544	2.833	15.756	11.162	70.841	50	0	0	0
layer	inotify	1s	1048576	1	5	5	0	3.706	4.753	4.753	5.249	19.954	24.886	124.714	9	0	0	0
layer	inotify	1s	1048576	2	5	5	0	2.106	2.770	2.770	3.295	12.095	16.712	138.172	10	0	0	0
layer	inotify	1s	1048576	3	5	5	0	2.833	3.947	3.947	5.567	17.438	20.374	116.831	9	0	0	0
layer	hybrid	100ms	128	1	30	30	0	0.212	0.767	1.369	2.744	11.491	7.799	67.867	56	0	0	0
layer	hybrid	100ms	128	2	30	30	0	0.260	1.329	2.636	3.551	15.300	9.257	60.500	43	0	0	0
layer	hybrid	100ms	128	3	30	30	0	0.293	1.009	1.384	3.411	15.032	5.967	39.693	48	0	0	0
layer	hybrid	100ms	4096	1	30	30	0	0.219	1.358	1.621	5.330	15.894	6.742	42.418	56	0	0	0
layer	hybrid	100ms	4096	2	30	30	0	0.194	0.537	0.833	0.991	8.430	6.043	71.681	48	0	0	0
layer	hybrid	100ms	4096	3	30	30	0	0.146	0.580	1.392	1.467	9.055	5.427	59.930	53	0	0	0
layer	hybrid	100ms	1048576	1	5	5	0	4.925	8.688	8.688	8.784	31.060	37.712	121.414	9	0	0	0
layer	hybrid	100ms	1048576	2	5	5	0	4.019	5.482	5.482	10.772	27.115	30.116	111.065	9	0	0	0
layer	hybrid	100ms	1048576	3	5	5	0	3.169	3.647	3.647	5.222	15.911	17.789	111.798	8	0	0	0
layer	hybrid	1s	128	1	30	30	0	0.203	1.647	1.952	2.438	13.579	6.340	46.687	59	0	0	0
layer	hybrid	1s	128	2	30	30	0	0.202	0.392	0.460	0.667	6.702	4.749	70.852	46	0	0	0
layer	hybrid	1s	128	3	30	30	0	0.186	1.317	1.571	1030.496	1039.697	10.862	1.045	56	0	0	0
layer	hybrid	1s	4096	1	30	30	0	0.326	1.198	1.567	2.179	15.568	10.275	65.997	48	0	0	0
layer	hybrid	1s	4096	2	30	30	0	0.224	0.734	0.882	1.244	9.555	6.871	71.907	59	0	0	0
layer	hybrid	1s	4096	3	30	30	0	0.246	1.071	5.393	5.803	20.263	5.075	25.045	52	0	0	0
layer	hybrid	1s	1048576	1	5	5	0	2.871	3.381	3.381	4.609	15.501	20.050	129.343	9	0	0	0
layer	hybrid	1s	1048576	2	5	5	0	3.128	3.744	3.744	4.781	16.450	22.681	137.871	9	0	0	0
layer	hybrid	1s	1048576	3	5	5	0	2.836	3.334	3.334	3.598	13.162	16.910	128.473	8	0	0	0
tmpfs	poll	10ms	128	1	30	30	0	10.003	11.329	11.351	11.993	291.664	5.976	2.049	30	0	0	0
tmpfs	poll	10ms	128	2	30	30	0	10.062	11.587	12.060	12.365	292.115	6.760	2.314	30	0	0	0
tmpfs	poll	10ms	128	3	30	30	0	9.969	11.845	11.932	12.069	290.463	6.189	2.131	30	0	0	0
tmpfs	poll	10ms	4096	1	30	30	0	10.046	11.316	11.657	11.843	294.259	7.649	2.599	30	0	0	0
tmpfs	poll	10ms	4096	2	30	30	0	10.105	11.449	12.020	12.053	292.218	7.430	2.543	30	0	0	0
tmpfs	poll	10ms	4096	3	30	30	0	9.868	11.945	12.130	12.492	291.650	7.017	2.406	30	0	0	0
tmpfs	poll	10ms	1048576	1	5	5	0	10.398	11.462	11.462	13.468	53.515	13.546	25.312	5	0	0	0
tmpfs	poll	10ms	1048576	2	5	5	0	11.068	11.070	11.070	11.699	51.956	15.411	29.662	5	0	0	0
tmpfs	poll	10ms	1048576	3	5	5	0	10.684	10.770	10.770	13.018	53.136	16.168	30.427	5	0	0	0
tmpfs	poll	100ms	128	1	30	30	0	100.139	102.670	103.611	105.827	2904.127	10.048	0.346	30	0	0	0
tmpfs	poll	100ms	128	2	30	30	0	99.754	103.826	104.337	105.836	2904.107	20.617	0.710	30	0	0	0
tmpfs	poll	100ms	128	3	30	30	0	99.573	103.356	103.373	104.120	2901.262	13.605	0.469	30	0	0	0
tmpfs	poll	100ms	4096	1	30	30	0	99.924	102.958	104.984	108.484	2905.405	22.930	0.789	30	0	0	0
tmpfs	poll	100ms	4096	2	30	30	0	99.900	103.346	103.350	104.483	2901.129	11.978	0.413	30	0	0	0
tmpfs	poll	100ms	4096	3	30	30	0	99.968	103.754	104.131	104.774	2902.449	11.970	0.412	30	0	0	0
tmpfs	poll	100ms	1048576	1	5	5	0	100.931	104.142	104.142	105.202	507.815	24.826	4.889	5	0	0	0
tmpfs	poll	100ms	1048576	2	5	5	0	103.125	103.334	103.334	103.636	508.604	26.916	5.292	5	0	0	0
tmpfs	poll	100ms	1048576	3	5	5	0	100.916	102.764	102.764	104.830	507.859	33.513	6.599	5	0	0	0
tmpfs	inotify	1s	128	1	30	30	0	0.070	0.204	0.543	0.745	3.999	3.332	83.316	44	0	0	0
tmpfs	inotify	1s	128	2	30	30	0	0.067	0.241	0.477	0.858	3.827	2.888	75.451	39	0	0	0
tmpfs	inotify	1s	128	3	30	30	0	0.133	0.710	0.850	0.990	7.131	3.654	51.234	39	0	0	0
tmpfs	inotify	1s	4096	1	30	30	0	0.120	0.295	0.567	1.144	5.815	4.264	73.324	35	0	0	0
tmpfs	inotify	1s	4096	2	30	30	0	0.064	0.589	0.753	0.798	4.180	2.415	57.775	38	0	0	0
tmpfs	inotify	1s	4096	3	30	30	0	0.143	0.928	0.955	1.140	7.585	4.473	58.968	40	0	0	0
tmpfs	inotify	1s	1048576	1	5	5	0	3.436	5.966	5.966	6.940	21.598	25.077	116.103	9	0	0	0
tmpfs	inotify	1s	1048576	2	5	5	0	2.837	3.318	3.318	3.689	14.515	18.330	126.282	9	0	0	0
tmpfs	inotify	1s	1048576	3	5	5	0	3.112	3.466	3.466	3.708	16.136	19.906	123.360	9	0	0	0
tmpfs	hybrid	100ms	128	1	30	30	0	0.104	0.821	1.058	1.188	7.329	3.344	45.622	35	0	0	0
tmpfs	hybrid	100ms	128	2	30	30	0	0.171	1.039	1.096	1.475	10.133	4.691	46.291	36	0	0	0
tmpfs	hybrid	100ms	128	3	30	30	0	0.052	0.459	0.546	0.872	3.685	1.970	53.456	35	0	0	0
tmpfs	hybrid	100ms	4096	1	30	30	0	0.137	1.047	1.176	1.182	8.348	4.414	52.870	40	0	0	0
tmpfs	hybrid	100ms	4096	2	30	30	0	0.094	0.214	0.314	0.562	3.996	3.544	88.687	40	0	0	0
tmpfs	hybrid	100ms	4096	3	30	30	0	0.079	0.207	0.234	1.486	4.269	3.231	75.671	41	0	0	0
tmpfs	hybrid	100ms	1048576	1	5	5	0	3.231	4.459	4.459	5.920	19.114	22.026	115.231	10	0	0	0
tmpfs	hybrid	100ms	1048576	2	5	5	0	2.096	3.196	3.196	3.296	12.430	16.045	129.082	9	0	0	0
tmpfs	hybrid	100ms	1048576	3	5	5	0	3.033	3.884	3.884	5.096	16.825	21.579	128.255	9	0	0	0
tmpfs	hybrid	1s	128	1	30	30	0	0.137	0.737	0.910	1.255	7.359	3.847	52.273	38	0	0	0
tmpfs	hybrid	1s	128	2	30	30	0	0.117	0.853	1.237	6.450	13.234	7.367	55.667	34	0	0	0
tmpfs	hybrid	1s	128	3	30	30	0	0.144	0.477	0.681	0.681	6.364	5.938	93.293	36	0	0	0
