protocol	case	expected	actual	result
stream-line	socket_permissions	0660	0660	pass
stream-line	single_connect	ok	ok	pass
stream-line	single_message	1	1	pass
stream-line	malformed_rejected	1	1	pass
stream-line	disconnect_mid_message	2	2	pass
stream-line	maximum_payload_accepted	2	2	pass
stream-line	oversized_rejected	1	1	pass
stream-line	shutdown_refuses_new	error	error	pass
stream-line	startup_retry	ok	ok	pass
stream-line	startup_retry_bounded	true	true	pass
stream-line	restart_reconnect	1	1	pass
stream-framed	socket_permissions	0660	0660	pass
stream-framed	single_connect	ok	ok	pass
stream-framed	single_message	1	1	pass
stream-framed	malformed_rejected	1	1	pass
stream-framed	disconnect_mid_message	2	2	pass
stream-framed	maximum_payload_accepted	2	2	pass
stream-framed	oversized_rejected	1	1	pass
stream-framed	shutdown_refuses_new	error	error	pass
stream-framed	startup_retry	ok	ok	pass
stream-framed	startup_retry_bounded	true	true	pass
stream-framed	restart_reconnect	1	1	pass
datagram-line	socket_permissions	0660	0660	pass
datagram-line	single_connect	ok	ok	pass
datagram-line	single_message	1	1	pass
datagram-line	malformed_rejected	1	1	pass
datagram-line	maximum_payload_accepted	2	2	pass
datagram-line	oversized_rejected	1	1	pass
datagram-line	shutdown_refuses_new	error	error	pass
datagram-line	startup_retry	ok	ok	pass
datagram-line	startup_retry_bounded	true	true	pass
datagram-line	restart_reconnect	1	1	pass
