protocol	producers	payload_bytes	messages	repetition	delivered	dropped_or_failed	wall_ms	msg_per_second	p50_us	p95_us	p99_us	cpu_ms	rss_kib	result
stream-line	1	64	2000	1	2000	0	4.882	409710.1	66.041	467.500	568.958	7.181	12566	pass
stream-line	1	64	2000	2	2000	0	3.304	605342.1	38.000	155.292	187.666	6.098	12566	pass
stream-line	1	64	2000	3	2000	0	2.934	681702.1	38.209	215.000	284.958	6.263	12566	pass
stream-line	1	1024	2000	1	2000	0	6.885	290505.9	16.875	168.291	243.333	9.991	12694	pass
stream-line	1	1024	2000	2	2000	0	6.617	302259.4	26.333	140.209	289.416	12.342	12694	pass
stream-line	1	1024	2000	3	2000	0	5.794	345189.6	23.000	232.209	249.875	8.894	12694	pass
stream-line	1	8192	500	1	500	0	8.745	57177.2	123.917	751.625	816.584	13.660	17046	pass
stream-line	1	8192	500	2	500	0	7.816	63971.0	97.500	695.083	899.916	13.251	17046	pass
stream-line	1	8192	500	3	500	0	7.997	62523.4	128.208	644.750	891.875	12.677	17046	pass
stream-line	8	64	16000	1	16000	0	13.724	1165833.8	325.584	3284.958	6056.458	36.531	17302	pass
stream-line	8	64	16000	2	16000	0	12.984	1232321.5	655.042	4347.208	4694.250	35.601	17558	pass
stream-line	8	64	16000	3	16000	0	8.951	1787426.5	574.083	3426.791	5075.125	34.732	17558	pass
stream-line	8	1024	16000	1	16000	0	55.284	289416.6	135.875	5253.583	12202.333	77.332	17558	pass
stream-line	8	1024	16000	2	16000	0	53.366	299818.0	140.250	5936.500	13953.083	80.521	17558	pass
stream-line	8	1024	16000	3	16000	0	54.234	295019.0	158.250	5515.833	9940.625	82.743	17558	pass
stream-line	8	8192	4000	1	4000	0	81.001	49382.4	391.708	7354.333	14883.875	108.775	29846	pass
stream-line	8	8192	4000	2	4000	0	85.729	46658.6	504.083	8910.334	14390.500	113.257	29846	pass
stream-line	8	8192	4000	3	4000	0	89.809	44538.9	723.625	9793.667	13662.458	109.816	29846	pass
stream-line	32	64	64000	1	64000	0	54.316	1178281.0	4531.333	20450.708	26426.417	156.123	29846	pass
stream-line	32	64	64000	2	64000	0	39.812	1607555.5	915.500	13003.916	14983.958	145.264	29846	pass
stream-line	32	64	64000	3	64000	0	37.502	1706573.7	1155.209	11571.959	14940.750	143.253	29846	pass
stream-line	32	1024	64000	1	64000	0	168.239	380411.9	226.792	15991.333	30758.042	345.189	29846	pass
stream-line	32	1024	64000	2	64000	0	165.339	387084.6	188.542	19562.250	31043.917	323.362	29846	pass
stream-line	32	1024	64000	3	64000	0	153.193	417773.1	255.916	17134.542	28801.834	320.267	29846	pass
stream-line	32	8192	16000	1	16000	0	255.951	62512.1	471.334	28242.416	47997.958	414.358	38038	pass
stream-line	32	8192	16000	2	16000	0	270.756	59093.8	492.459	34237.500	60411.708	407.065	38038	pass
stream-line	32	8192	16000	3	16000	0	294.508	54327.8	520.250	34306.334	56354.625	445.799	38038	pass
stream-framed	1	64	2000	1	2000	0	6.146	325439.2	172.250	220.125	253.584	10.777	38038	pass
stream-framed	1	64	2000	2	2000	0	5.043	396612.3	221.084	366.000	380.833	5.317	38038	pass
stream-framed	1	64	2000	3	2000	0	4.502	444275.8	211.833	325.292	374.667	6.894	38038	pass
stream-framed	1	1024	2000	1	2000	0	6.789	294588.8	78.583	295.625	1267.250	9.536	38038	pass
stream-framed	1	1024	2000	2	2000	0	7.176	278718.1	141.041	420.125	1560.625	14.367	38038	pass
stream-framed	1	1024	2000	3	2000	0	7.912	252785.9	108.333	389.250	1111.959	11.514	38038	pass
stream-framed	1	8192	500	1	500	0	12.852	38903.4	100.792	1162.000	1252.917	12.873	38038	pass
stream-framed	1	8192	500	2	500	0	8.845	56531.5	53.000	867.583	1516.375	10.737	38038	pass
stream-framed	1	8192	500	3	500	0	8.983	55661.2	75.625	268.250	876.417	10.808	38038	pass
stream-framed	8	64	16000	1	16000	0	16.605	963567.6	1015.916	2786.958	3528.833	56.209	38038	pass
stream-framed	8	64	16000	2	16000	0	17.751	901345.0	639.167	4878.542	6533.708	53.200	38038	pass
stream-framed	8	64	16000	3	16000	0	15.810	1012004.4	578.917	3610.250	4328.750	50.505	38038	pass
stream-framed	8	1024	16000	1	16000	0	58.716	272497.5	269.458	5087.292	6436.458	94.091	38038	pass
stream-framed	8	1024	16000	2	16000	0	58.714	272506.8	336.292	4085.250	7772.000	104.617	38038	pass
stream-framed	8	1024	16000	3	16000	0	53.782	297497.1	298.375	4267.000	6803.459	95.090	38038	pass
stream-framed	8	8192	4000	1	4000	0	78.894	50700.7	445.542	7160.500	11914.041	108.217	38038	pass
stream-framed	8	8192	4000	2	4000	0	69.568	57498.1	252.250	7390.417	14073.000	107.513	38038	pass
stream-framed	8	8192	4000	3	4000	0	97.713	40936.2	782.667	8110.541	13072.833	117.360	38038	pass
stream-framed	32	64	64000	1	64000	0	47.769	1339784.5	2717.958	8875.083	11571.708	215.425	38038	pass
stream-framed	32	64	64000	2	64000	0	55.182	1159795.0	3156.791	9871.167	14579.042	220.549	38038	pass
stream-framed	32	64	64000	3	64000	0	52.530	1218360.1	2943.292	9382.250	13722.167	223.742	38038	pass
stream-framed	32	1024	64000	1	64000	0	254.516	251457.3	729.125	21928.750	34948.000	426.045	38038	pass
stream-framed	32	1024	64000	2	64000	0	271.656	235591.7	690.708	25895.333	40245.542	403.584	38038	pass
stream-framed	32	1024	64000	3	64000	0	272.936	234487.1	600.792	24081.000	40199.708	413.084	38038	pass
stream-framed	32	8192	16000	1	16000	0	569.063	28116.4	2216.792	56137.417	92729.792	693.032	38038	pass
stream-framed	32	8192	16000	2	16000	0	581.007	27538.4	1791.542	49047.875	81779.750	779.480	38038	pass
stream-framed	32	8192	16000	3	16000	0	575.789	27788.0	1579.208	53508.208	94329.167	705.393	38038	pass
datagram-line	1	64	2000	1	2000	0	9.220	216924.6	13.542	28.875	102.542	7.113	38038	pass
datagram-line	1	64	2000	2	2000	0	5.704	350633.7	9.291	18.666	26.166	3.296	38038	pass
datagram-line	1	64	2000	3	2000	0	5.857	341498.5	9.459	19.625	29.583	3.430	38038	pass
datagram-line	1	1024	2000	1	2000	0	7.608	262874.0	11.042	67.500	127.542	9.202	38038	pass
datagram-line	1	1024	2000	2	2000	0	3.669	545095.3	5.416	36.916	122.875	6.783	38038	pass
datagram-line	1	1024	2000	3	2000	0	5.201	384523.0	12.084	43.459	160.875	9.168	38038	pass
datagram-line	1	8192	500	1	500	0	7.367	67872.2	32.667	247.333	786.292	9.880	38038	pass
datagram-line	1	8192	500	2	500	0	11.011	45407.9	41.208	282.791	579.667	14.698	38038	pass
datagram-line	1	8192	500	3	500	0	7.645	65403.3	38.625	192.250	336.500	10.284	38038	pass
datagram-line	8	64	16000	1	16000	0	45.802	349331.3	22.083	145.875	325.250	144.133	38038	pass
datagram-line	8	64	16000	2	16000	0	36.821	434538.1	19.625	119.417	258.333	121.596	38038	pass
datagram-line	8	64	16000	3	16000	0	40.943	390790.0	20.833	131.417	264.000	131.404	38038	pass
datagram-line	8	1024	16000	1	16000	0	59.230	270131.3	25.500	197.375	713.875	164.401	38038	pass
datagram-line	8	1024	16000	2	16000	0	53.301	300181.5	24.583	190.625	514.458	156.698	38038	pass
datagram-line	8	1024	16000	3	16000	0	55.590	287823.7	24.958	185.917	627.750	161.977	38038	pass
datagram-line	8	8192	4000	1	4000	0	68.938	58023.2	125.500	1273.708	2085.000	118.860	38038	pass
datagram-line	8	8192	4000	2	4000	0	67.699	59085.0	125.333	1151.958	1662.375	119.004	38038	pass
datagram-line	8	8192	4000	3	4000	0	69.855	57261.1	109.208	1276.833	2309.458	116.979	38038	pass
datagram-line	32	64	64000	1	64000	0	168.852	379029.2	34.000	433.958	756.458	729.786	38038	pass
datagram-line	32	64	64000	2	64000	0	165.612	386444.4	33.833	425.292	744.250	714.087	38038	pass
datagram-line	32	64	64000	3	64000	0	165.651	386355.1	32.708	426.917	755.792	686.804	38038	pass
datagram-line	32	1024	64000	1	64000	0	255.555	250435.2	43.375	685.792	1480.458	880.689	38038	pass
datagram-line	32	1024	64000	2	64000	0	255.662	250330.1	41.875	707.792	1505.750	867.592	38038	pass
datagram-line	32	1024	64000	3	64000	0	253.206	252758.3	41.792	689.166	1455.834	863.767	38038	pass
datagram-line	32	8192	16000	1	16000	0	310.670	51501.6	259.500	3060.417	5284.000	585.876	38038	pass
datagram-line	32	8192	16000	2	16000	0	313.666	51009.6	243.083	3224.875	5431.167	588.231	38038	pass
datagram-line	32	8192	16000	3	16000	0	323.571	49448.2	247.167	3274.542	5602.583	600.189	38038	pass
