protocol	producers	payload_bytes	messages	repetition	delivered	dropped_or_failed	wall_ms	msg_per_second	p50_us	p95_us	p99_us	cpu_ms	go_runtime_sys_kib	rss_kib	result
stream-line	1	64	2000	1	2000	0	15.211	131482.2	13.604	67.976	199.069	30.497	12630	6024	pass
stream-line	1	64	2000	2	2000	0	8.304	240842.7	10.291	38.638	193.888	19.758	12630	6536	pass
stream-line	1	64	2000	3	2000	0	6.154	324985.1	7.355	110.763	266.911	14.990	12630	7304	pass
stream-line	1	1024	2000	1	2000	0	10.426	191833.3	9.784	125.736	1012.244	20.134	12886	8712	pass
stream-line	1	1024	2000	2	2000	0	7.982	250561.1	4.764	44.638	127.506	13.495	12886	8936	pass
stream-line	1	1024	2000	3	2000	0	6.040	331130.5	6.512	21.009	70.549	14.814	12886	7468	pass
stream-line	1	8192	500	1	500	0	9.008	55508.9	66.010	785.937	808.420	12.127	13142	10148	pass
stream-line	1	8192	500	2	500	0	5.997	83369.2	24.705	525.625	562.437	12.767	13142	9312	pass
stream-line	1	8192	500	3	500	0	5.875	85105.7	55.843	1081.763	1198.388	11.642	13142	9660	pass
stream-line	8	64	16000	1	16000	0	12.594	1270460.8	518.762	4029.786	5418.725	81.041	13654	9220	pass
stream-line	8	64	16000	2	16000	0	12.426	1287597.5	274.169	3010.525	3644.359	78.972	13654	9732	pass
stream-line	8	64	16000	3	16000	0	14.323	1117046.6	34.619	1989.084	3672.617	79.718	13654	9948	pass
stream-line	8	1024	16000	1	16000	0	49.823	321138.0	100.840	3238.891	8695.846	131.377	13654	8920	pass
stream-line	8	1024	16000	2	16000	0	53.117	301222.7	81.717	5150.244	7998.246	123.007	13654	8040	pass
stream-line	8	1024	16000	3	16000	0	47.139	339421.5	109.180	4080.040	6978.183	134.661	13654	8656	pass
stream-line	8	8192	4000	1	4000	0	87.979	45465.6	584.592	7636.392	12028.895	144.490	17750	11836	pass
stream-line	8	8192	4000	2	4000	0	94.732	42224.4	891.811	9082.800	13700.239	211.163	17750	10748	pass
stream-line	8	8192	4000	3	4000	0	94.933	42135.0	452.675	8352.906	12796.905	199.775	17750	10700	pass
stream-line	32	64	64000	1	64000	0	69.826	916561.3	945.621	22350.027	30378.404	455.257	17750	10976	pass
stream-line	32	64	64000	2	64000	0	57.940	1104594.5	478.111	22980.169	36267.394	347.236	17750	10740	pass
stream-line	32	64	64000	3	64000	0	53.863	1188209.3	224.270	18506.089	32619.122	302.075	17750	10272	pass
stream-line	32	1024	64000	1	64000	0	170.431	375519.1	121.032	16782.767	28344.323	620.574	25942	10944	pass
stream-line	32	1024	64000	2	64000	0	166.432	384540.8	109.377	15744.666	28546.302	671.806	25942	11908	pass
stream-line	32	1024	64000	3	64000	0	162.852	392994.9	135.564	18940.106	29048.269	654.905	25942	11068	pass
stream-line	32	8192	16000	1	16000	0	251.817	63538.2	294.999	27094.602	41448.331	607.629	30038	12584	pass
stream-line	32	8192	16000	2	16000	0	234.512	68226.8	223.750	25526.633	48154.760	607.365	30038	13700	pass
stream-line	32	8192	16000	3	16000	0	262.369	60982.7	286.674	27017.843	44285.613	689.812	34134	9592	pass
