case	expected	actual	result
http_malformed	400	400	pass
http_empty_records	422	422	pass
http_encoded_body_limit	413	413	pass
unix_decoded_1mib	accepted	accepted	pass
unix_decoded_1mib_plus_1	rejected	rejected	pass
http_decoded_1mib	200	200	pass
http_decoded_1mib_plus_1	413	413	pass
grpc_decoded_1mib	accepted	accepted	pass
grpc_decoded_1mib_plus_1	ResourceExhausted	ResourceExhausted	pass
all_matrix_requests	zero_errors	zero_errors	pass
http_loopback_bind	127.0.0.1	127.0.0.1	pass
grpc_loopback_bind	127.0.0.1	127.0.0.1	pass
http_shutdown	server_unavailable_state_retained	server_unavailable_state_retained	pass
http_restart	accepted_10	accepted_10	pass
