transport	payload_bytes	batch	producers	requests_per_producer	accepted	errors	duration_ms	throughput_records_s	p50_ms	p95_ms	p99_ms
unix	64	1	1	300	300	0	13.772	21781.8	0.037	0.068	0.133
http	64	1	1	300	300	0	72.819	4119.8	0.114	0.739	0.887
grpc	64	1	1	300	300	0	32.356	9271.7	0.077	0.181	0.245
unix	64	1	8	300	2400	0	12.027	199550.9	0.032	0.075	0.120
http	64	1	8	300	2400	0	74.395	32260.2	0.144	0.955	1.895
grpc	64	1	8	300	2400	0	118.958	20175.1	0.144	1.184	3.355
unix	64	16	1	300	4800	0	9.671	496327.5	0.028	0.047	0.067
http	64	16	1	300	4800	0	94.650	50713.1	0.255	0.545	0.960
grpc	64	16	1	300	4800	0	108.736	44143.4	0.354	0.577	1.150
unix	64	16	8	300	38400	0	35.872	1070471.7	0.095	0.225	0.447
http	64	16	8	300	38400	0	194.715	197210.5	0.392	2.310	3.935
grpc	64	16	8	300	38400	0	94.969	404339.0	0.186	1.266	2.121
unix	1024	1	1	300	300	0	5.655	53048.2	0.011	0.055	0.067
http	1024	1	1	300	300	0	35.998	8333.6	0.088	0.225	0.438
grpc	1024	1	1	300	300	0	40.589	7391.2	0.092	0.243	0.484
unix	1024	1	8	300	2400	0	15.156	158349.9	0.040	0.097	0.226
http	1024	1	8	300	2400	0	185.655	12927.2	0.322	2.190	4.118
grpc	1024	1	8	300	2400	0	103.965	23084.5	0.205	1.336	2.619
unix	1024	16	1	300	4800	0	10.155	472670.8	0.025	0.061	0.156
http	1024	16	1	300	4800	0	211.476	22697.6	0.503	1.342	2.307
grpc	1024	16	1	300	4800	0	131.688	36449.7	0.340	0.861	1.933
unix	1024	16	8	300	38400	0	41.375	928096.1	0.074	0.400	0.869
http	1024	16	8	300	38400	0	1813.726	21171.9	5.727	11.301	14.151
grpc	1024	16	8	300	38400	0	204.934	187376.8	0.295	2.297	5.639
unix	16384	1	1	100	100	0	2.862	34930.7	0.014	0.047	0.162
http	16384	1	1	100	100	0	34.293	2916.0	0.251	0.682	1.288
grpc	16384	1	1	100	100	0	14.770	6770.0	0.093	0.223	1.035
unix	16384	1	8	100	800	0	11.384	70269.6	0.044	0.497	1.139
http	16384	1	8	100	800	0	227.536	3515.9	2.043	4.714	5.867
grpc	16384	1	8	100	800	0	40.102	19949.0	0.189	1.567	2.127
unix	16384	16	1	100	1600	0	19.368	82606.7	0.121	0.411	0.561
http	16384	16	1	100	1600	0	355.677	4498.5	3.371	4.906	6.073
grpc	16384	16	1	100	1600	0	60.250	26555.8	0.473	1.524	1.919
unix	16384	16	8	100	12800	0	82.166	155781.8	0.531	2.121	3.225
http	16384	16	8	100	12800	0	866.743	14767.9	7.533	15.164	21.710
grpc	16384	16	8	100	12800	0	300.525	42592.1	2.553	5.543	9.051
