transport	concurrent_publishers	snapshot_bytes	publications	elapsed_ns	accepted_snapshots_per_second	end_to_end_p50_ns	end_to_end_p95_ns	end_to_end_p99_ns	errors	accepted_snapshots	active_reader_reads	active_reader_bad_reads
mmap_file	1	128	500	1703375	293535	542	8042	36042	0	500	6775	0
mmap_tmpfs	1	128	500	1287333	388400	1083	7459	23625	0	500	4756	0
unix_socket	1	128	500	7318416	68321	8334	43417	67750	0	500	30391	0
mmap_file	8	128	4000	13216250	302658	4833	42958	254833	0	4000	10817	0
mmap_tmpfs	8	128	4000	8430000	474496	7542	51666	131250	0	4000	5016	0
unix_socket	8	128	4000	24288084	164690	23459	81083	149042	0	4000	80923	0
mmap_file	1	4096	100	824792	121243	3958	11458	111000	0	100	1242	0
mmap_tmpfs	1	4096	100	529958	188694	3625	17833	21416	0	100	932	0
unix_socket	1	4096	100	2510167	39838	22875	42000	68791	0	100	4433	0
mmap_file	8	4096	800	4599291	173940	29167	132459	246833	0	800	2424	0
mmap_tmpfs	8	4096	800	4587292	174395	24667	139334	271417	0	800	2256	0
unix_socket	8	4096	800	6436458	124292	28292	145458	533209	0	800	6150	0
mmap_file	1	65536	20	1287959	15528	32042	185333	185333	0	20	172	0
mmap_tmpfs	1	65536	20	1040500	19222	26000	155542	155542	0	20	148	0
unix_socket	1	65536	20	1375875	14536	51125	143375	143375	0	20	189	0
mmap_file	8	65536	160	7533083	21240	333417	667417	834125	0	160	669	0
mmap_tmpfs	8	65536	160	6589292	24282	278000	569542	713000	0	160	625	0
unix_socket	8	65536	160	5611458	28513	204042	602417	658750	0	160	608	0
