transport	concurrent_publishers	snapshot_bytes	publications	publisher_publications_per_second	publisher_commit_p50_ns	publisher_commit_p95_ns	publisher_commit_p99_ns
mmap_file	1	128	500	1861317	125	1250	10666
mmap_tmpfs	1	128	500	2315286	166	1208	4625
unix_socket	1	128	500	544886	1208	4166	14709
mmap_file	8	128	4000	274147	417	17417	35666
mmap_tmpfs	8	128	4000	186084	1125	25292	57958
unix_socket	8	128	4000	537448	1750	2958	3625
mmap_file	1	4096	100	315915	1542	5167	9042
mmap_tmpfs	1	4096	100	595103	1250	3375	7042
unix_socket	1	4096	100	324107	2167	7750	15875
mmap_file	8	4096	800	52153	10542	60292	109167
mmap_tmpfs	8	4096	800	47371	5750	74333	191417
unix_socket	8	4096	800	401217	2042	3334	7417
mmap_file	1	65536	20	46212	20250	27917	27917
mmap_tmpfs	1	65536	20	47638	16042	28792	28792
unix_socket	1	65536	20	100252	8125	18583	18583
mmap_file	8	65536	160	5707	153709	377333	582500
mmap_tmpfs	8	65536	160	8336	97375	304459	390000
unix_socket	8	65536	160	70583	7667	31333	148959
