assertion	expected	actual	result
mmap_file_1_128_no_errors	0	0	pass
mmap_file_1_128_accepted	500	500	pass
mmap_file_1_128_active_reader_bad_reads	0	0	pass
mmap_file_1_128_active_reader_observed	true	true	pass
mmap_tmpfs_1_128_no_errors	0	0	pass
mmap_tmpfs_1_128_accepted	500	500	pass
mmap_tmpfs_1_128_active_reader_bad_reads	0	0	pass
mmap_tmpfs_1_128_active_reader_observed	true	true	pass
unix_socket_1_128_no_errors	0	0	pass
unix_socket_1_128_accepted	500	500	pass
unix_socket_1_128_active_reader_bad_reads	0	0	pass
unix_socket_1_128_active_reader_observed	true	true	pass
mmap_file_8_128_no_errors	0	0	pass
mmap_file_8_128_accepted	4000	4000	pass
mmap_file_8_128_active_reader_bad_reads	0	0	pass
mmap_file_8_128_active_reader_observed	true	true	pass
mmap_tmpfs_8_128_no_errors	0	0	pass
mmap_tmpfs_8_128_accepted	4000	4000	pass
mmap_tmpfs_8_128_active_reader_bad_reads	0	0	pass
mmap_tmpfs_8_128_active_reader_observed	true	true	pass
unix_socket_8_128_no_errors	0	0	pass
unix_socket_8_128_accepted	4000	4000	pass
unix_socket_8_128_active_reader_bad_reads	0	0	pass
unix_socket_8_128_active_reader_observed	true	true	pass
mmap_file_1_4096_no_errors	0	0	pass
mmap_file_1_4096_accepted	100	100	pass
mmap_file_1_4096_active_reader_bad_reads	0	0	pass
mmap_file_1_4096_active_reader_observed	true	true	pass
mmap_tmpfs_1_4096_no_errors	0	0	pass
mmap_tmpfs_1_4096_accepted	100	100	pass
mmap_tmpfs_1_4096_active_reader_bad_reads	0	0	pass
mmap_tmpfs_1_4096_active_reader_observed	true	true	pass
unix_socket_1_4096_no_errors	0	0	pass
unix_socket_1_4096_accepted	100	100	pass
unix_socket_1_4096_active_reader_bad_reads	0	0	pass
unix_socket_1_4096_active_reader_observed	true	true	pass
mmap_file_8_4096_no_errors	0	0	pass
mmap_file_8_4096_accepted	800	800	pass
mmap_file_8_4096_active_reader_bad_reads	0	0	pass
mmap_file_8_4096_active_reader_observed	true	true	pass
mmap_tmpfs_8_4096_no_errors	0	0	pass
mmap_tmpfs_8_4096_accepted	800	800	pass
mmap_tmpfs_8_4096_active_reader_bad_reads	0	0	pass
mmap_tmpfs_8_4096_active_reader_observed	true	true	pass
unix_socket_8_4096_no_errors	0	0	pass
unix_socket_8_4096_accepted	800	800	pass
unix_socket_8_4096_active_reader_bad_reads	0	0	pass
unix_socket_8_4096_active_reader_observed	true	true	pass
mmap_file_1_65536_no_errors	0	0	pass
mmap_file_1_65536_accepted	20	20	pass
mmap_file_1_65536_active_reader_bad_reads	0	0	pass
mmap_file_1_65536_active_reader_observed	true	true	pass
mmap_tmpfs_1_65536_no_errors	0	0	pass
mmap_tmpfs_1_65536_accepted	20	20	pass
mmap_tmpfs_1_65536_active_reader_bad_reads	0	0	pass
mmap_tmpfs_1_65536_active_reader_observed	true	true	pass
unix_socket_1_65536_no_errors	0	0	pass
unix_socket_1_65536_accepted	20	20	pass
unix_socket_1_65536_active_reader_bad_reads	0	0	pass
unix_socket_1_65536_active_reader_observed	true	true	pass
mmap_file_8_65536_no_errors	0	0	pass
mmap_file_8_65536_accepted	160	160	pass
mmap_file_8_65536_active_reader_bad_reads	0	0	pass
mmap_file_8_65536_active_reader_observed	true	true	pass
mmap_tmpfs_8_65536_no_errors	0	0	pass
mmap_tmpfs_8_65536_accepted	160	160	pass
mmap_tmpfs_8_65536_active_reader_bad_reads	0	0	pass
mmap_tmpfs_8_65536_active_reader_observed	true	true	pass
unix_socket_8_65536_no_errors	0	0	pass
unix_socket_8_65536_accepted	160	160	pass
unix_socket_8_65536_active_reader_bad_reads	0	0	pass
unix_socket_8_65536_active_reader_observed	true	true	pass
overflow_accounting	936	936	pass
restart_sequence_recovery	100	100	pass
schema_mismatch_rejected	true	true	pass
writer_crash_exit	99	99	pass
crash_torn_candidate_uncommitted	0	0	pass
mapping_permissions	0600	0600	pass
