transport	concurrent_publishers	snapshot_bytes	accepted_snapshots	cpu_ns	cpu_ns_per_accepted_snapshot	max_rss_kb
mmap_file	1	128	500	9375000	18750	10640
mmap_tmpfs	1	128	500	8797000	17594	10640
unix_socket	1	128	500	76360000	152720	10640
mmap_file	8	128	4000	44663000	11165	10640
mmap_tmpfs	8	128	4000	50148000	12537	10640
unix_socket	8	128	4000	209649000	52412	10640
mmap_file	1	4096	100	6815000	68150	10884
mmap_tmpfs	1	4096	100	6519000	65190	10884
unix_socket	1	4096	100	48434000	484340	10884
mmap_file	8	4096	800	106861000	133576	13268
mmap_tmpfs	8	4096	800	97969000	122461	13268
unix_socket	8	4096	800	186297000	232871	13268
mmap_file	1	65536	20	14380000	719000	13268
mmap_tmpfs	1	65536	20	13797000	689850	13268
unix_socket	1	65536	20	22437000	1121850	13268
mmap_file	8	65536	160	226213000	1413831	19828
mmap_tmpfs	8	65536	160	187341000	1170881	19828
unix_socket	8	65536	160	136696000	854350	19828
