sample	generation_header	generation_labels	series	result
1	A	A	250	pass
2	A	A	250	pass
3	A	A	250	pass
4	A	A	250	pass
5	A	A	250	pass
6	A	A	250	pass
7	B	B	250	pass
8	B	B	250	pass
9	B	B	250	pass
10	B	B	250	pass
11	B	B	250	pass
12	B	B	250	pass
13	A	A	250	pass
14	A	A	250	pass
15	B	B	250	pass
16	A	A	250	pass
17	A	A	250	pass
18	A	A	250	pass
19	A	A	250	pass
20	B	B	250	pass
21	B	B	250	pass
22	B	B	250	pass
23	B	B	250	pass
24	B	B	250	pass
25	B	B	250	pass
26	A	A	250	pass
27	A	A	250	pass
28	A	A	250	pass
29	A	A	250	pass
30	A	A	250	pass
31	B	B	250	pass
32	B	B	250	pass
33	B	B	250	pass
34	B	B	250	pass
35	B	B	250	pass
36	B	B	250	pass
37	B	B	250	pass
38	A	A	250	pass
39	A	A	250	pass
40	A	A	250	pass
41	A	A	250	pass
42	A	A	250	pass
43	B	B	250	pass
44	B	B	250	pass
45	B	B	250	pass
46	B	B	250	pass
47	A	A	250	pass
48	A	A	250	pass
49	A	A	250	pass
50	A	A	250	pass
51	B	B	250	pass
52	B	B	250	pass
53	B	B	250	pass
54	B	B	250	pass
55	B	B	250	pass
56	A	A	250	pass
57	A	A	250	pass
58	A	A	250	pass
59	B	B	250	pass
60	B	B	250	pass
61	B	B	250	pass
62	B	B	250	pass
63	B	B	250	pass
64	A	A	250	pass
65	A	A	250	pass
66	A	A	250	pass
67	A	A	250	pass
68	B	B	250	pass
69	B	B	250	pass
70	B	B	250	pass
71	B	B	250	pass
72	B	B	250	pass
73	B	B	250	pass
74	B	B	250	pass
75	A	A	250	pass
76	A	A	250	pass
77	A	A	250	pass
78	A	A	250	pass
79	A	A	250	pass
80	A	A	250	pass
81	A	A	250	pass
82	B	B	250	pass
83	B	B	250	pass
84	B	B	250	pass
85	B	B	250	pass
86	B	B	250	pass
87	B	B	250	pass
88	A	A	250	pass
89	A	A	250	pass
90	A	A	250	pass
91	A	A	250	pass
92	A	A	250	pass
93	A	A	250	pass
94	B	B	250	pass
95	B	B	250	pass
96	B	B	250	pass
97	B	B	250	pass
98	B	B	250	pass
99	B	B	250	pass
100	A	A	250	pass
101	A	A	250	pass
102	A	A	250	pass
103	A	A	250	pass
104	A	A	250	pass
105	A	A	250	pass
106	B	B	250	pass
107	B	B	250	pass
108	B	B	250	pass
109	B	B	250	pass
110	B	B	250	pass
111	B	B	250	pass
112	B	B	250	pass
113	A	A	250	pass
114	A	A	250	pass
115	A	A	250	pass
116	A	A	250	pass
117	A	A	250	pass
118	A	A	250	pass
119	B	B	250	pass
120	B	B	250	pass
