case	assertion	expected	actual	result
toolchain	effective_kubectl_version	v1.34.0	v1.34.0	pass
two_prometheus	replicas	2	2	pass
direct_pod_discovery	scrape_completed	true	true	pass
service_monitor	aggregate_http_scrapes_at_least_two	true	true	pass
readiness_true	bounded_window_reason	timeout	timeout	pass
prometheus_replicas	prometheus_replica_0_query_status	success	success	pass
prometheus_replicas	prometheus_replica_0_stored_sample	true	true	pass
prometheus_replicas	prometheus_replica_0_sample_value	42	42	pass
prometheus_replicas	prometheus_replica_1_query_status	success	success	pass
prometheus_replicas	prometheus_replica_1_stored_sample	true	true	pass
prometheus_replicas	prometheus_replica_1_sample_value	42	42	pass
readiness_false	bounded_window_reason	timeout	timeout	pass
pod_monitor	unready_pod_scraped	true	true	pass
active_deadline	wait_observed	0	0	pass
active_deadline	reason	DeadlineExceeded	DeadlineExceeded	pass
ttl_after_finished	job_deleted	true	true	pass
termination	pod_removed	true	true	pass
cronjob	first_schedule_created	true	true	pass
cronjob	concurrency_policy	Forbid	Forbid	pass
overlap	one_active_pod	1	1	pass
overlap	no_second_job	1	1	pass
