candidate	publishers	operations	repetition	elapsed_ns	ops_per_second
serialized	1	10000	0	4551708	2196977.49
serialized	1	10000	1	5553875	1800544.66
serialized	1	10000	2	5089667	1964765.08
serialized	1	10000	3	4828875	2070875.72
serialized	1	10000	4	5747791	1739798.82
serialized	1	10000	5	5524958	1809968.51
serialized	1	10000	6	5647875	1770577.43
serialized	1	10000	7	4703834	2125925.36
serialized	1	10000	8	5565834	1796675.93
serialized	1	10000	9	5608334	1783060.71
serialized	2	20000	0	10487875	1906963.99
serialized	2	20000	1	10697125	1869661.24
serialized	2	20000	2	9949209	2010210.06
serialized	2	20000	3	11049542	1810029.77
serialized	2	20000	4	10490208	1906539.89
serialized	2	20000	5	11373583	1758460.81
serialized	2	20000	6	10489417	1906683.66
serialized	2	20000	7	11880541	1683425.02
serialized	2	20000	8	10916667	1832061.01
serialized	2	20000	9	11654750	1716038.53
serialized	8	80000	0	54781167	1460355.89
serialized	8	80000	1	55599792	1438854.30
serialized	8	80000	2	55753875	1434877.84
serialized	8	80000	3	52752666	1516511.03
serialized	8	80000	4	53610166	1492254.29
serialized	8	80000	5	60326042	1326127.11
serialized	8	80000	6	61470708	1301432.87
serialized	8	80000	7	58247917	1373439.67
serialized	8	80000	8	57002917	1403436.95
serialized	8	80000	9	56527209	1415247.66
serialized	32	320000	0	213830000	1496515.92
serialized	32	320000	1	223907542	1429161.33
serialized	32	320000	2	294771625	1085586.17
serialized	32	320000	3	299766583	1067497.24
serialized	32	320000	4	294837917	1085342.09
serialized	32	320000	5	260157167	1230025.69
serialized	32	320000	6	237407876	1347891.26
serialized	32	320000	7	265423334	1205621.21
serialized	32	320000	8	261076250	1225695.56
serialized	32	320000	9	228778084	1398735.38
serialized	128	1280000	0	941733417	1359195.69
serialized	128	1280000	1	964004876	1327794.11
serialized	128	1280000	2	953457083	1342483.08
serialized	128	1280000	3	917901292	1394485.45
serialized	128	1280000	4	942376668	1358267.92
serialized	128	1280000	5	1040232584	1230494.04
serialized	128	1280000	6	1198687709	1067834.42
serialized	128	1280000	7	1071080084	1195055.36
serialized	128	1280000	8	943479417	1356680.37
serialized	128	1280000	9	913857917	1400655.37
global_mutex	1	10000	0	986250	10139416.98
global_mutex	1	10000	1	973292	10274408.91
global_mutex	1	10000	2	956209	10457964.73
global_mutex	1	10000	3	889375	11243851.02
global_mutex	1	10000	4	893166	11196127.04
global_mutex	1	10000	5	885250	11296244.00
global_mutex	1	10000	6	920458	10864156.76
global_mutex	1	10000	7	976833	10237164.39
global_mutex	1	10000	8	954709	10474395.86
global_mutex	1	10000	9	949625	10530472.55
global_mutex	2	20000	0	3690084	5419930.82
global_mutex	2	20000	1	3658333	5466970.89
global_mutex	2	20000	2	3251292	6151400.74
