candidate	publishers	samples	p50_ns	p95_ns	p99_ns
serialized	1	10	1035	1392	1392
serialized	2	10	1148	1320	1320
serialized	8	10	1002	1255	1255
serialized	32	10	886	1098	1098
serialized	128	10	946	1067	1067
global_mutex	1	10	158	175	175
global_mutex	2	10	196	233	233
global_mutex	8	10	269	337	337
global_mutex	32	10	328	366	366
global_mutex	128	10	351	387	387
sharded	1	10	205	222	222
sharded	2	10	262	461	461
sharded	8	10	279	309	309
sharded	32	10	253	330	330
sharded	128	10	322	369	369
atomic_family	1	10	175	179	179
atomic_family	2	10	238	278	278
atomic_family	8	10	226	245	245
atomic_family	32	10	237	250	250
atomic_family	128	10	237	267	267
copy_on_write	1	10	240	325	325
copy_on_write	2	10	295	436	436
copy_on_write	8	10	307	378	378
copy_on_write	32	10	334	353	353
copy_on_write	128	10	383	412	412
