experiment	assertion	expected	actual	result
E-017.1	serialized_counter_1_r0	1000	1000	pass
E-017.1	serialized_counter_1_r1	1000	1000	pass
E-017.1	serialized_counter_1_r2	1000	1000	pass
E-017.1	serialized_counter_2_r0	2000	2000	pass
E-017.1	serialized_counter_2_r1	2000	2000	pass
E-017.1	serialized_counter_2_r2	2000	2000	pass
E-017.1	serialized_counter_8_r0	8000	8000	pass
E-017.1	serialized_counter_8_r1	8000	8000	pass
E-017.1	serialized_counter_8_r2	8000	8000	pass
E-017.1	serialized_counter_32_r0	32000	32000	pass
E-017.1	serialized_counter_32_r1	32000	32000	pass
E-017.1	serialized_counter_32_r2	32000	32000	pass
E-017.1	serialized_counter_128_r0	128000	128000	pass
E-017.1	serialized_counter_128_r1	128000	128000	pass
E-017.1	serialized_counter_128_r2	128000	128000	pass
E-017.2	serialized_gauge_commit	latest_commit	3200	pass
E-017.2	serialized_gauge_linearized	3100	3100	pass
E-017.3	serialized_histogram_atomic	count=+Inf=3200	3200/3200	pass
E-017.3	serialized_concurrent_snapshots	all_valid	samples=165,valid=true	pass
E-017.4	serialized_descriptor_race	one_descriptor_64_results	gauge:v1/32/32	pass
E-017.1	global_mutex_counter_1_r0	1000	1000	pass
E-017.1	global_mutex_counter_1_r1	1000	1000	pass
E-017.1	global_mutex_counter_1_r2	1000	1000	pass
E-017.1	global_mutex_counter_2_r0	2000	2000	pass
E-017.1	global_mutex_counter_2_r1	2000	2000	pass
E-017.1	global_mutex_counter_2_r2	2000	2000	pass
E-017.1	global_mutex_counter_8_r0	8000	8000	pass
E-017.1	global_mutex_counter_8_r1	8000	8000	pass
E-017.1	global_mutex_counter_8_r2	8000	8000	pass
E-017.1	global_mutex_counter_32_r0	32000	32000	pass
E-017.1	global_mutex_counter_32_r1	32000	32000	pass
E-017.1	global_mutex_counter_32_r2	32000	32000	pass
E-017.1	global_mutex_counter_128_r0	128000	128000	pass
E-017.1	global_mutex_counter_128_r1	128000	128000	pass
E-017.1	global_mutex_counter_128_r2	128000	128000	pass
E-017.2	global_mutex_gauge_commit	latest_commit	3200	pass
E-017.2	global_mutex_gauge_linearized	400	400	pass
E-017.3	global_mutex_histogram_atomic	count=+Inf=3200	3200/3200	pass
E-017.3	global_mutex_concurrent_snapshots	all_valid	samples=513,valid=true	pass
E-017.4	global_mutex_descriptor_race	one_descriptor_64_results	gauge:v1/32/32	pass
E-017.1	sharded_counter_1_r0	1000	1000	pass
E-017.1	sharded_counter_1_r1	1000	1000	pass
E-017.1	sharded_counter_1_r2	1000	1000	pass
E-017.1	sharded_counter_2_r0	2000	2000	pass
E-017.1	sharded_counter_2_r1	2000	2000	pass
E-017.1	sharded_counter_2_r2	2000	2000	pass
E-017.1	sharded_counter_8_r0	8000	8000	pass
E-017.1	sharded_counter_8_r1	8000	8000	pass
E-017.1	sharded_counter_8_r2	8000	8000	pass
E-017.1	sharded_counter_32_r0	32000	32000	pass
E-017.1	sharded_counter_32_r1	32000	32000	pass
