candidate	publishers	samples	p50_ns	p95_ns	p99_ns
serialized	1	3	1522	2148	2148
serialized	2	3	1361	1753	1753
serialized	8	3	1300	1372	1372
serialized	32	3	1190	1421	1421
serialized	128	3	1111	1295	1295
global_mutex	1	3	230	241	241
global_mutex	2	3	252	278	278
global_mutex	8	3	292	341	341
global_mutex	32	3	340	369	369
global_mutex	128	3	352	359	359
sharded	1	3	213	221	221
sharded	2	3	293	416	416
sharded	8	3	317	335	335
sharded	32	3	321	321	321
sharded	128	3	357	361	361
atomic_family	1	3	354	386	386
atomic_family	2	3	310	352	352
atomic_family	8	3	282	311	311
atomic_family	32	3	277	296	296
atomic_family	128	3	256	278	278
copy_on_write	1	3	338	419	419
copy_on_write	2	3	331	360	360
copy_on_write	8	3	368	427	427
copy_on_write	32	3	408	467	467
copy_on_write	128	3	457	483	483
