candidate	publishers	operations	repetition	elapsed_ns	ops_per_second
serialized	1	1000	0	2116674	472439.31
serialized	1	1000	1	1384928	722059.20
serialized	1	1000	2	1485822	673028.13
serialized	2	2000	0	3466804	576900.22
serialized	2	2000	1	2704163	739600.39
serialized	2	2000	2	2403207	832221.28
serialized	8	8000	0	10332218	774277.12
serialized	8	8000	1	7951576	1006089.86
serialized	8	8000	2	10925529	732229.99
serialized	32	32000	0	36737814	871037.13
serialized	32	32000	1	45339236	705790.45
serialized	32	32000	2	37944377	843339.71
serialized	128	128000	0	165166515	774975.48
serialized	128	128000	1	140195708	913009.41
serialized	128	128000	2	141829874	902489.70
global_mutex	1	1000	0	195880	5105166.43
global_mutex	1	1000	1	220144	4542481.28
global_mutex	1	1000	2	232339	4304055.71
global_mutex	2	2000	0	546115	3662232.31
global_mutex	2	2000	1	485987	4115336.42
global_mutex	2	2000	2	435828	4588966.29
global_mutex	8	8000	0	2698154	2964990.14
global_mutex	8	8000	1	1829669	4372375.55
global_mutex	8	8000	2	2303216	3473404.14
global_mutex	32	32000	0	10780228	2968397.33
global_mutex	32	32000	1	10758071	2974510.95
global_mutex	32	32000	2	11698487	2735396.47
global_mutex	128	128000	0	45591375	2807548.58
global_mutex	128	128000	1	41637224	3074172.28
global_mutex	128	128000	2	44773682	2858822.29
sharded	1	1000	0	203165	4922107.65
sharded	1	1000	1	205725	4860857.94
sharded	1	1000	2	202795	4931088.04
sharded	2	2000	0	569797	3510021.99
sharded	2	2000	1	823125	2429764.62
sharded	2	2000	2	427509	4678264.08
sharded	8	8000	0	2512335	3184288.72
sharded	8	8000	1	2629225	3042721.71
sharded	8	8000	2	2490570	3212116.10
sharded	32	32000	0	10189568	3140466.80
sharded	32	32000	1	10177592	3144162.19
sharded	32	32000	2	9638243	3320107.20
sharded	128	128000	0	41861254	3057720.15
sharded	128	128000	1	45142153	2835487.27
sharded	128	128000	2	45856973	2791287.60
atomic_family	1	1000	0	306140	3266479.39
atomic_family	1	1000	1	341835	2925387.98
atomic_family	1	1000	2	370343	2700199.54
atomic_family	2	2000	0	581055	3442014.96
atomic_family	2	2000	1	596377	3353583.39
atomic_family	2	2000	2	683755	2925024.31
atomic_family	8	8000	0	2458066	3254591.21
atomic_family	8	8000	1	2131463	3753290.58
atomic_family	8	8000	2	2229296	3588576.84
atomic_family	32	32000	0	8620310	3712163.48
atomic_family	32	32000	1	8742924	3660102.73
atomic_family	32	32000	2	9373519	3413872.63
atomic_family	128	128000	0	34489241	3711302.32
atomic_family	128	128000	1	32177054	3977990.03
atomic_family	128	128000	2	31333420	4085095.08
copy_on_write	1	1000	0	301401	3317839.03
copy_on_write	1	1000	1	328121	3047656.20
copy_on_write	1	1000	2	412705	2423038.25
copy_on_write	2	2000	0	645947	3096229.26
copy_on_write	2	2000	1	695481	2875707.60
copy_on_write	2	2000	2	645054	3100515.62
copy_on_write	8	8000	0	2912837	2746463.33
copy_on_write	8	8000	1	2518650	3176304.77
copy_on_write	8	8000	2	3386237	2362504.46
copy_on_write	32	32000	0	14858631	2153630.44
copy_on_write	32	32000	1	12480797	2563938.83
copy_on_write	32	32000	2	12945536	2471894.56
copy_on_write	128	128000	0	61474764	2082155.21
copy_on_write	128	128000	1	58139429	2201604.01
copy_on_write	128	128000	2	55761321	2295497.99
