experiment	assertion	expected	actual	result
E-019.1	accepted_100_1	20000	20000	pass
E-019.1	accepted_1000_1	20000	20000	pass
E-019.1	accepted_10000_1	20000	20000	pass
E-019.1	accepted_100_10	20000	20000	pass
E-019.1	accepted_1000_10	20000	20000	pass
E-019.1	accepted_10000_10	20000	20000	pass
E-019.1	accepted_100_100	20000	20000	pass
E-019.1	accepted_1000_100	20000	20000	pass
E-019.1	accepted_10000_100	20000	20000	pass
E-019.2	series_limit_rejects	series_limit	series_limit	pass
E-019.2	series_rejection_preserves_generation	0	0	pass
E-019.3	bucket_limit_before_allocation	bucket_limit	bucket_limit	pass
E-019.5	zero_mixed_generation_responses	0	0	pass
E-019.5	slow_reader_completed	true	true	pass
E-019.5	cache_path_exercised	true	true	pass
E-019.6	capacity_1	1	1	pass
E-019.6	capacity_16	16	16	pass
E-019.6	capacity_64	64	64	pass
E-019.6	capacity_1024	1024	1024	pass
Additional	invalid_core_candidate_preserves_active	true	true	pass
