strategy	series	operations	mutation_ms	encoding_ms	core_install_ms	scrape_ms	encoded_bytes
reencode_each_mutation	100	2000	0.268	143.524	0.000	0.000000	10084
materialize_on_scrape	100	2000	0.025	0.063	0.001	0.000041	10084
generation_cache	100	2000	0.025	0.065	0.000	0.000041	10084
copy_on_write	100	2000	4.025	0.067	0.000	0.000042	10084
reencode_each_mutation	1000	2000	0.549	1568.668	0.004	0.000042	101721
materialize_on_scrape	1000	2000	0.026	0.711	0.004	0.000041	101721
generation_cache	1000	2000	0.026	0.704	0.005	0.000042	101721
copy_on_write	1000	2000	47.072	0.787	0.004	0.000000	101721
reencode_each_mutation	10000	200	0.104	1858.526	0.066	0.000042	1057819
materialize_on_scrape	10000	2000	0.031	8.600	0.219	0.000042	1059354
generation_cache	10000	2000	0.027	8.504	0.057	0.000042	1059354
copy_on_write	10000	200	62.610	8.249	0.160	0.000041	1057819
