mode	request_class	eligible	application_before	application_after	self_metric_delta
immediate	health	false	13	13	1
immediate	readiness	false	13	13	1
immediate	debug	false	13	13	1
immediate	cancelled	false	13	13	1
immediate	failed	false	13	13	1
immediate	prefinal	false	13	13	1
immediate	eligible	false	13	13	1
duration	health	false	13	13	1
duration	readiness	false	13	13	1
duration	debug	false	13	13	1
duration	cancelled	false	13	13	1
duration	failed	false	13	13	1
duration	prefinal	false	13	13	1
duration	eligible	true	13	13	1
scrapes	health	false	13	13	1
scrapes	readiness	false	13	13	1
scrapes	debug	false	13	13	1
scrapes	cancelled	false	13	13	1
scrapes	failed	false	13	13	1
scrapes	prefinal	false	13	13	1
scrapes	eligible	true	13	13	1
