round	winners	freeze_count	p50_ms	p95_ms	p99_ms
1	1	1	0.000042	0.000084	0.000084
2	1	1	0.000083	0.000125	0.000208
3	1	1	0.000042	0.000292	0.005584
4	1	1	0.000083	0.000125	0.000250
5	1	1	0.000208	0.000291	0.000334
6	1	1	0.000208	0.000334	0.000417
7	1	1	0.000042	0.000208	0.000250
8	1	1	0.000042	0.000084	0.000208
9	1	1	0.000083	0.000125	0.000167
10	1	1	0.000083	0.000167	0.000541
11	1	1	0.000083	0.000125	0.000208
12	1	1	0.000042	0.000083	0.000084
13	1	1	0.000208	0.000459	0.010208
14	1	1	0.000042	0.000125	0.000208
15	1	1	0.000042	0.000083	0.000084
16	1	1	0.000042	0.000042	0.000084
17	1	1	0.000042	0.000084	0.000084
18	1	1	0.000042	0.000250	0.000417
19	1	1	0.000042	0.000083	0.000084
20	1	1	0.000042	0.000083	0.000084
21	1	1	0.000042	0.000083	0.000084
22	1	1	0.000084	0.000375	0.000459
23	1	1	0.000083	0.000125	0.000208
24	1	1	0.000208	0.000375	0.000417
25	1	1	0.000167	0.000375	0.000417
26	1	1	0.000125	0.000250	0.000250
27	1	1	0.000125	0.000250	0.000417
28	1	1	0.000083	0.000167	0.000250
29	1	1	0.000042	0.000083	0.000125
30	1	1	0.000083	0.000167	0.000167
